# ---------------------------------------------------------------------------
# 
# This file contains the network properties of the 299 diseases used in:
# 
# Uncovering Disease-Disease Relationships Through The Human
# Interactome
#
# by Joerg Menche, Amitabh Sharma, Maksim Kitsak, Susan Dina
#    Ghiassian, Marc Vidal, Joseph Loscalzo & Albert-Laszlo Barabasi
#
#
# For details see Section 2.1 of the SOM
#
# FILE FORMAT: 7 tab-separated columns:
#
# Column 1: name of the disease
# Column 2: number of all associated genes
#
# Column 3: size of the largest connected component (LCC)
# Column 4: significance of the LCC size (z-score)
#
# Column 5: mean shortest distance <d_s>
# Column 6: effect size of <d_s> (Glass's delta) 
# Column 7: significance of <d_s> (Mann-Whitney-U test p-value)
#
# ---------------------------------------------------------------------------
# disease	number_of_all_genes	LCC_size	LCC_z_score	d_s	d_s_Glass_delta	d_s_p_value
abnormalities, multiple	144	47	13.3	1.496	-0.95109228405	2.08671580199e-27
actinomycetales infections	35	4	4.9	1.45454545455	-1.64831925072	7.45586722841e-12
adenocarcinoma	36	6	6.0	1.75	-1.03540245006	7.05297747167e-08
adnexal diseases	33	8	10.4	1.69230769231	-1.20138773378	8.13657210464e-09
adrenal gland diseases	20	5	8.2	1.52941176471	-1.60840404915	1.56670988081e-08
albuminuria	29	1	-0.4	3.14285714286	0.775226318181	0.0030011515842
alzheimer disease	36	6	6.6	1.75862068965	-1.03863958525	6.64667624788e-07
amino acid metabolism, inborn errors	56	13	10.5	1.21153846154	-1.71591765356	5.13677758718e-31
amyotrophic lateral sclerosis	25	2	1.3	2.0	-0.788861787267	0.000401891063007
anemia	61	16	11.5	1.39655172414	-1.3792199948	3.69585621837e-26
anemia, aplastic	22	9	14.5	1.14285714286	-2.16264273905	6.53418787122e-16
anemia, hemolytic	29	7	8.2	1.48275862069	-1.49390480642	2.75640884217e-11
aneurysm	20	4	7.2	1.8	-1.27311885274	2.20081895007e-06
ankylosis	21	1	-0.3	2.66666666667	-0.0603183491111	0.20085132032
arrhythmias, cardiac	34	5	4.9	1.96666666667	-0.698315517769	0.000740499813963
arterial occlusive diseases	62	4	2.2	2.11363636364	-0.321276001168	0.00966714786875
arteriosclerosis	53	4	2.6	2.18421052631	-0.273528519945	0.0639783012232
arthritis	106	17	9.0	1.81578947368	-0.596320943009	4.59031554539e-07
arthritis, rheumatoid	51	9	8.0	1.85714285714	-0.746799568618	8.12150052585e-07
asthma	50	3	1.6	2.0	-0.554230951442	0.000712696886542
ataxia	36	2	0.6	1.86666666667	-0.881507247041	1.03239565927e-06
autoimmune diseases	363	87	6.3	1.60082304527	-0.514588947672	1.0389823011e-18
autoimmune diseases of the nervous system	123	15	6.4	1.73493975904	-0.69319333377	2.5393336373e-10
bacterial infections	39	4	4.2	1.46153846154	-1.54681377612	6.20771858959e-12
bacterial infections and mycoses	43	4	3.4	1.48275862069	-1.48240736575	1.82985448387e-11
basal ganglia diseases	66	8	6.4	1.93333333333	-0.603255181349	0.000136689249688
behcet syndrome	33	2	2.6	2.15384615385	-0.79626633286	0.00392555117995
bile duct diseases	44	2	0.6	1.96774193548	-0.706028009312	0.00090936493477
biliary tract diseases	61	2	0.1	1.975	-0.57122496142	0.000556714093556
blood coagulation disorders	40	25	26.8	1.15	-1.88534138263	1.04320362573e-26
blood coagulation disorders, inherited	36	22	25.9	1.11428571429	-2.00069450342	2.71364714308e-24
blood platelet disorders	28	7	9.0	1.23076923077	-1.92936618854	5.02249292302e-17
blood protein disorders	22	4	6.1	1.55555555556	-1.55211923046	1.26552122963e-08
body weight	21	3	5.5	1.92307692307	-1.12424816312	0.00191066952198
bone diseases	179	58	12.6	1.625	-0.68268993129	1.13897347766e-18
bone diseases, developmental	104	38	16.0	1.59375	-0.871820818074	1.70827476287e-17
bone diseases, metabolic	38	2	0.9	2.44444444445	-0.0102392925813	0.282360074036
bone marrow diseases	63	30	23.5	1.49152542373	-1.20707399236	2.94314268318e-20
brain diseases	382	78	2.7	1.51118210863	-0.572045810243	2.31433067383e-27
brain diseases, metabolic	107	15	4.6	1.48039215686	-1.03969589271	4.00158849992e-27
brain diseases, metabolic, inborn	106	15	4.7	1.47524752475	-1.05551519412	1.80294201599e-26
breast diseases	60	18	17.8	1.57142857143	-1.21335915289	3.1290427662e-13
breast neoplasms	58	18	18.8	1.55	-1.26109202987	1.76943987983e-12
bronchial diseases	62	3	1.3	2.1	-0.378524206597	0.0222120315031
carbohydrate metabolism, inborn errors	88	11	4.9	1.55844155844	-1.01982807992	1.92223211607e-18
carcinoma	63	12	8.8	1.69642857143	-0.897568169306	5.64643853526e-11
carcinoma, renal cell	21	3	3.8	1.88888888889	-1.06914595575	2.46911691755e-05
cardiomegaly	38	7	7.0	1.59375	-1.2616462058	1.33312542973e-10
cardiomyopathies	53	12	9.5	1.51020408163	-1.23138629383	9.00696646909e-15
cardiomyopathy, dilated	32	7	7.6	1.55172413793	-1.36998589824	5.79705312736e-11
cardiomyopathy, hypertrophic	23	4	4.8	1.59090909091	-1.41207375886	1.68784876611e-08
cardiomyopathy, hypertrophic, familial	22	4	5.2	1.61904761905	-1.40919667016	2.80147254585e-08
cardiovascular abnormalities	73	6	3.0	1.62068965517	-1.00338146913	1.45651222116e-13
cardiovascular diseases	462	146	5.9	1.51515151515	-0.544852258207	1.30473229553e-25
carotid artery diseases	25	2	2.1	2.53333333333	-0.13898971166	0.475792233774
celiac disease	45	2	0.3	2.22222222222	-0.231575685161	0.0526520767992
central nervous system diseases	428	134	4.5	1.46571428571	-0.60570051896	8.48868326945e-34
cerebellar ataxia	36	2	0.6	1.86666666667	-0.868730566733	1.32783001381e-06
cerebellar diseases	39	2	0.5	1.81818181818	-0.910711441529	6.44993772317e-07
cerebrovascular disorders	63	4	2.0	2.0	-0.473051919038	0.00161660027816
charcot-marie-tooth disease	30	5	5.5	1.66666666667	-1.21429969366	2.67810494528e-08
cholestasis	39	2	0.8	1.92857142857	-0.794885358965	0.000303843790201
cholestasis, intrahepatic	39	2	0.8	1.92857142857	-0.784169810681	0.000341909233091
chromosome disorders	35	5	4.9	1.63333333333	-1.23843279671	1.93745449494e-12
colitis	83	4	1.5	1.98181818182	-0.447213368235	0.000105189887998
colitis, ulcerative	83	4	1.5	1.98181818182	-0.440552984096	0.000119655053131
collagen diseases	29	3	2.7	1.88	-0.935714467601	2.25470974005e-05
colonic diseases	139	27	9.6	1.62745098039	-0.797911668851	8.43410767684e-17
colorectal neoplasms	51	16	15.9	1.47619047619	-1.36842051062	7.51764539015e-17
congenital abnormalities	443	213	7.0	1.33947368421	-0.783680340162	4.17359531296e-60
congenital disorders of glycosylation	25	5	7.3	1.7	-1.29892780998	1.21742686956e-06
congenital, hereditary, and neonatal diseases and abnormalities	1168	730	9.6	1.22871287129	-0.589690152497	1.13383098473e-84
connective tissue diseases	215	27	4.0	1.55063291139	-0.763666983165	5.13077859624e-23
coronary artery disease	43	2	0.6	2.35483870968	-0.0815019789553	0.285569349245
coronary disease	50	2	0.3	2.24324324324	-0.199234650467	0.110622531762
cranial nerve diseases	38	9	10.0	1.90909090909	-0.766233638067	0.000108146089529
craniofacial abnormalities	44	22	22.7	1.35	-1.58948509768	2.34205686064e-19
crohn disease	107	10	4.9	1.98591549296	-0.339889865512	0.00199376128027
death	26	1	-0.5	2.26315789474	-0.430406811086	0.0280344199378
death, sudden	26	1	-0.5	2.26315789474	-0.437574968796	0.0271559816158
death, sudden, cardiac	20	1	-0.4	2.33333333333	-0.43552447853	0.0181080613568
dementia	51	13	12.3	1.7619047619	-0.911331637946	7.49550573471e-08
demyelinating autoimmune diseases, cns	109	11	5.8	1.87142857143	-0.53881313237	5.37796929434e-06
demyelinating diseases	128	15	6.1	1.76404494382	-0.629377005127	1.91768848212e-09
diabetes mellitus	228	15	1.3	1.80864197531	-0.32490834497	4.61257742519e-06
diabetes mellitus, type 1	120	5	1.0	1.90243902439	-0.419627951874	4.99253605189e-05
diabetes mellitus, type 2	97	9	3.9	2.0	-0.29698145621	0.0116169008401
digestive system diseases	431	145	5.9	1.49848024316	-0.569467373635	1.21715089918e-28
digestive system neoplasms	113	49	21.9	1.47368421053	-1.09011060688	3.28716336504e-27
disorders of sex development	27	9	13.2	1.45833333333	-1.57921661966	2.93492898712e-12
dna repair-deficiency disorders	46	32	31.1	1.15217391304	-1.83898219866	5.09302419324e-29
dwarfism	28	3	2.5	2.03846153846	-0.667206972598	0.000862068530802
dyskinesias	51	5	3.2	1.86666666667	-0.713249162532	9.32994018405e-07
dysostoses	22	8	12.3	1.71428571428	-1.25898804114	1.8209803632e-07
dyssomnias	21	2	1.6	1.84210526316	-1.08816011272	1.39843832172e-05
